enlace,MAE,RMSE,MAPE
ADH_ADH,29429439.7676,296535830.2292,1624.9679
ADH_CVK,39181.286,105085.6211,67.177
ADH_HTW,752339.4577,4842590.5967,113.5475
ADH_HU,40033.8337,98542.3223,36.4652
ADH_SPK,72644.8255,153595.7678,49.8544
ADH_TU,62787.738,184189.1659,80.9974
ADH_UP,4540.4704,14887.7665,61.6043
ADH_WIAS,30941.3516,91232.9307,93.1741
ADH_ZIB,374859.3174,2997583.8878,53.1736
CVK_ADH,27490.5021,119561.4183,63.1056
CVK_CVK,872332.641,2125378.1901,50.027
CVK_HTW,40403.9888,206209.9379,34.8987
CVK_HU,29670.885,80780.0769,24.077
CVK_SPK,50478.5052,125019.8428,32.1944
CVK_TU,68224.5496,261239.2205,45.0299
CVK_UP,3107.3973,5720.6585,28.7313
CVK_WIAS,16502.5105,34632.5449,40.3533
CVK_ZIB,74427.9653,148613.882,16.5926
HTW_ADH,824610.3,6171641.3685,102.8614
HTW_CVK,50641.7291,108971.7662,27.2771
HTW_HTW,723651.9185,2229371.2647,44.4419
HTW_HU,78828.6972,151403.3204,28.8894
HTW_SPK,95925.0128,184885.812,28.4725
HTW_TU,108750.0854,341819.731,36.5107
HTW_UP,3240.6906,5046.9827,19.2248
HTW_WIAS,48133.8986,117741.0021,38.8312
HTW_ZIB,329772.9342,666861.2061,13.1048
HU_ADH,102518.99,445058.9543,46.8654
HU_CVK,143185.8576,325492.0393,31.6651
HU_HTW,219665.3278,723665.9583,35.1474
HU_HU,1201936.1557,1685606.809,15.2606
HU_SPK,2200129.2662,4854194.5046,39.2697
HU_TU,303667.4329,768672.2327,28.3562
HU_UP,9369.0226,14513.679,24.4524
HU_WIAS,116152.9374,244154.1071,39.659
HU_ZIB,10726751.1056,62788089.5291,85.5015
SPK_ADH,276098.4998,2419154.1885,77.0948
SPK_CVK,139400.9021,249491.1613,36.3002
SPK_HTW,213590.5577,582855.791,34.6894
SPK_HU,1723458.8232,4561926.7803,26.2414
SPK_SPK,1885387.1971,3435506.4679,42.8674
SPK_TU,258472.5849,562901.19,41.791
SPK_UP,6949.1411,10966.0433,19.4081
SPK_WIAS,15347883.6329,171669108.8423,229.7985
SPK_ZIB,692909.3202,1116723.0375,23.3076
TU_ADH,97006.0603,409527.5793,154.1135
TU_CVK,223063.3147,627184.3736,40.3933
TU_HTW,186756.2245,865495.29,77.0202
TU_HU,172031.9008,370028.946,43.5811
TU_SPK,228348.0778,490189.6525,52.5195
TU_TU,2108778.4882,8359637.8975,75.7648
TU_UP,9627.2031,37006.8786,62.642
TU_WIAS,77858.5652,207712.557,78.3263
TU_ZIB,6740264.6457,50916749.1056,127.7313
UP_ADH,7391.0406,26377.7628,69.1042
UP_CVK,6807.3142,21619.4043,34.1969
UP_HTW,22471.295,198198.8077,43.8202
UP_HU,13459.0395,39386.279,41.515
UP_SPK,75210.4568,607178.1514,58.1039
UP_TU,14346.7217,70636.8728,44.4152
UP_UP,2515479.6635,27623987.4046,1300.7824
UP_WIAS,38085.0521,241340.3895,74.0795
UP_ZIB,291685.0685,2418597.0379,60.9117
WIAS_ADH,37317.7174,202840.3154,107.4304
WIAS_CVK,23157.0105,48714.3383,38.7688
WIAS_HTW,30244.9687,63728.1077,38.9837
WIAS_HU,53720.9662,209172.6139,31.0596
WIAS_SPK,862938.4821,3281044.7377,51.3403
WIAS_TU,52123.3707,146125.5426,52.4933
WIAS_UP,2530.0644,5254.5053,30.4684
WIAS_WIAS,15530.8706,37044.72,54.3127
WIAS_ZIB,96997.4614,190575.1663,24.347
ZIB_ADH,4426702.1204,52001858.2118,212.4049
ZIB_CVK,274762.3522,646021.8755,32.792
ZIB_HTW,986860.6884,2431533.4204,25.8348
ZIB_HU,369255.0121,898050.3471,40.8896
ZIB_SPK,590404.5851,1238519.0968,39.0218
ZIB_TU,843848.2687,2494518.4384,41.8845
ZIB_UP,10141.3989,15919.0079,23.1824
ZIB_WIAS,233686.3579,524957.3602,56.1984
ZIB_ZIB,6156591.5713,13370170.3392,40.3802
