enlace,MAE,RMSE,MAPE
ADH_ADH,466993.6551,2059208.666,605.2914
ADH_CVK,33401.4688,89625.6937,70.8379
ADH_HTW,380005.0492,1249915.9526,142.0992
ADH_HU,51325.4617,115617.1853,58.2082
ADH_SPK,85629.2244,175643.7656,66.867
ADH_TU,50753.2898,126324.1489,88.9868
ADH_UP,3398.2092,7206.6161,68.3184
ADH_WIAS,27868.8141,58863.6981,138.6247
ADH_ZIB,216523.4145,659256.5439,65.3301
CVK_ADH,19585.6141,51639.5267,64.4274
CVK_CVK,953306.9302,2267778.9287,134.9394
CVK_HTW,50248.7506,308566.7877,48.4824
CVK_HU,68662.5918,625198.9606,44.4828
CVK_SPK,63352.2379,238405.0882,44.1899
CVK_TU,80784.6689,351999.6558,57.4387
CVK_UP,3877.0898,6279.7676,42.436
CVK_WIAS,23050.259,50078.7314,60.2412
CVK_ZIB,139635.1366,367504.2084,37.4442
HTW_ADH,343548.5009,964197.2717,163.7848
HTW_CVK,71278.526,142713.6429,46.6328
HTW_HTW,604467.3255,1375970.0771,89.2691
HTW_HU,115470.2363,195055.7312,49.9185
HTW_SPK,157197.3225,305923.8013,44.3965
HTW_TU,140498.0475,419370.9062,58.2041
HTW_UP,5569.3172,8666.754,35.7998
HTW_WIAS,75100.5758,151413.3249,71.1177
HTW_ZIB,821696.585,1556712.3154,38.7667
HU_ADH,72946.6312,177462.0097,51.2582
HU_CVK,200063.0504,553461.0448,50.6898
HU_HTW,361175.2336,1317856.5315,59.7457
HU_HU,1847486.8841,2927390.452,53.7977
HU_SPK,2052548.3953,3191913.0937,62.5908
HU_TU,541756.9713,1406919.0024,55.6302
HU_UP,13877.2317,19640.1759,46.0454
HU_WIAS,169813.2609,348728.189,79.0158
HU_ZIB,3821777.7701,7030887.7937,150.2998
SPK_ADH,97861.8846,228890.775,57.4027
SPK_CVK,139482.7212,242279.0665,42.4435
SPK_HTW,298846.6264,870274.5164,50.7582
SPK_HU,2508862.9603,6105836.0241,54.5927
SPK_SPK,2185369.0949,4986519.2298,64.9034
SPK_TU,253919.8554,449351.9627,51.6697
SPK_UP,12704.8973,19203.2861,40.014
SPK_WIAS,2014456.3687,4673680.0852,225.7406
SPK_ZIB,1336971.885,2144381.3807,62.568
TU_ADH,47560.8584,134171.8205,114.1617
TU_CVK,304392.3477,756034.1318,80.8822
TU_HTW,151351.1589,509050.9984,80.3969
TU_HU,172329.781,381318.319,49.7733
TU_SPK,192016.7297,362923.6443,54.275
TU_TU,1781568.268,5545536.2316,232.9793
TU_UP,6915.8113,11133.993,64.9963
TU_WIAS,77686.9728,206043.7183,98.488
TU_ZIB,1257521.6527,2495750.5784,97.5511
UP_ADH,5421.3162,13802.1117,75.5766
UP_CVK,9456.1174,35987.7863,53.2521
UP_HTW,24310.3217,194112.929,59.6667
UP_HU,14427.6093,35475.2391,59.6121
UP_SPK,23414.5233,68928.55,63.3523
UP_TU,14818.3698,59794.6728,64.7294
UP_UP,254145.2176,630064.1991,1090.9485
UP_WIAS,13162.444,47399.9738,77.6469
UP_ZIB,108707.6304,466096.5659,61.9083
WIAS_ADH,20398.0495,54103.6592,101.3644
WIAS_CVK,30777.5841,60393.9324,60.4032
WIAS_HTW,42105.7085,89778.3014,66.7365
WIAS_HU,78812.3407,243513.5545,53.4148
WIAS_SPK,1472387.4196,4089720.5296,328.1087
WIAS_TU,61511.3588,151520.3909,89.012
WIAS_UP,3799.4625,7624.8504,59.2301
WIAS_WIAS,26563.9972,63222.274,122.5834
WIAS_ZIB,210673.4056,417643.8265,53.6796
ZIB_ADH,305018.0342,1204783.6055,78.8277
ZIB_CVK,331958.4312,753745.5983,49.3621
ZIB_HTW,1144459.4511,2401693.5929,74.0434
ZIB_HU,345706.5113,633410.0078,44.8262
ZIB_SPK,585938.5537,1540381.6169,38.099
ZIB_TU,1031841.1802,2582120.742,67.2792
ZIB_UP,14463.0885,22933.7705,34.0145
ZIB_WIAS,239031.8273,505485.1635,64.7956
ZIB_ZIB,7039266.9215,14799779.9241,44.4932
