enlace,MAE,RMSE,MAPE
ADH_ADH,1927355.0937,4043265.6449,115480.5069
ADH_CVK,48059.15,84448.6836,160.831
ADH_HTW,1980416.6005,3445340.3844,607.4997
ADH_HU,61759.2439,107238.1316,93.7482
ADH_SPK,102741.1022,245566.2209,133.8378
ADH_TU,85010.8655,147171.5529,374.078
ADH_UP,9268.278,21634.0978,250.9468
ADH_WIAS,76673.4719,364128.034,348.8452
ADH_ZIB,162633.905,276991.9512,121.3155
CVK_ADH,117229.6762,236908.3238,160.7042
CVK_CVK,1051483.0014,2232570.5265,17770.7267
CVK_HTW,164347.4469,291126.1056,106.9432
CVK_HU,117505.6464,223888.6932,84.2273
CVK_SPK,104958.7053,193876.2864,96.06
CVK_TU,370908.4173,1355094.135,195.5196
CVK_UP,8030.9698,23214.5186,117.8664
CVK_WIAS,48522.2068,102092.5921,337.6771
CVK_ZIB,279266.7745,561883.3838,172.597
HTW_ADH,457949.9872,1134394.9611,1242.5849
HTW_CVK,51437.4294,81257.707,82.8171
HTW_HTW,1593509.3151,3057271.695,216.2777
HTW_HU,163759.8127,356245.139,234.8833
HTW_SPK,195811.4728,484574.5079,131.6893
HTW_TU,77192.6604,137576.7188,71.5987
HTW_UP,9961.5176,20789.4658,64.0172
HTW_WIAS,149456.1093,481930.0158,491.0901
HTW_ZIB,350282.8015,492720.5848,61.8665
HU_ADH,318349.3967,872871.3523,161.7307
HU_CVK,104611.6406,292592.9373,103.9424
HU_HTW,574772.4105,1683317.2231,369.6213
HU_HU,1302087.0156,3393880.1989,287.0923
HU_SPK,3508387.131,6379201.6494,262.4569
HU_TU,278238.2679,1674562.6659,134.5205
HU_UP,9876.8847,16680.295,76.9505
HU_WIAS,241791.8951,646522.0064,220.4205
HU_ZIB,2362831.1069,5897864.2457,303.4958
SPK_ADH,440663.0128,993870.9711,151.464
SPK_CVK,134442.1462,226741.4596,65.8974
SPK_HTW,714700.1424,1592745.2819,152.0414
SPK_HU,3924135.5531,7482381.7332,123.6385
SPK_SPK,2725854.7551,7597580.76,122.7402
SPK_TU,292967.9578,631884.7006,70.9886
SPK_UP,18518.0701,34806.9171,58.9921
SPK_WIAS,2756138.4203,5531974.4957,2481.9675
SPK_ZIB,1699546.2516,2953193.2656,114.2085
TU_ADH,116177.7443,231655.2051,466.1891
TU_CVK,273803.3617,1261742.5339,151.9422
TU_HTW,209282.0342,348803.9536,69.9627
TU_HU,221970.4212,540185.5061,83.4908
TU_SPK,255765.0644,908804.0914,100.8574
TU_TU,2689029.5809,10129305.9037,2138.6641
TU_UP,8725.242,30008.4,89.8151
TU_WIAS,87207.9475,224551.8234,322.8011
TU_ZIB,409357.2061,1165251.4163,97.3165
UP_ADH,18571.7952,39272.8736,257.5569
UP_CVK,7392.1834,14524.5794,105.1358
UP_HTW,55771.6729,107298.6975,171.0329
UP_HU,14804.9996,26141.2289,93.1322
UP_SPK,16552.7065,33665.0707,97.3761
UP_TU,9397.9898,24704.5503,112.2763
UP_UP,414196.9565,937769.535,29811.6634
UP_WIAS,9913.7395,25781.653,305.5335
UP_ZIB,46921.2612,109081.804,122.0058
WIAS_ADH,49187.1246,104285.2033,250.6369
WIAS_CVK,19418.264,41981.7291,127.2855
WIAS_HTW,89893.8817,153630.9397,72.4978
WIAS_HU,91300.0339,503921.4479,99.9724
WIAS_SPK,246754.3161,788769.4102,214.9383
WIAS_TU,43165.3056,124501.7108,113.8925
WIAS_UP,2572.8304,5379.9039,74.8801
WIAS_WIAS,44761.7142,195623.5168,404.862
WIAS_ZIB,136623.6961,284733.9,82.2808
ZIB_ADH,2158359.5838,4020164.1644,513.5163
ZIB_CVK,472099.6264,1243774.2858,89.2697
ZIB_HTW,6684276.6275,8362696.2244,100.6675
ZIB_HU,429047.4969,879207.7369,92.2735
ZIB_SPK,1082582.9072,3152542.0152,78.0082
ZIB_TU,1784386.0635,5137331.9949,89.0191
ZIB_UP,50956.8016,173410.5487,72.9443
ZIB_WIAS,455017.8539,862356.4611,144.9091
ZIB_ZIB,10737634.3255,18525764.7694,98.7618
