enlace,MAE,RMSE,MAPE
ADH_ADH,2595861.16,4659701.8176,87.6464
ADH_CVK,92444.4153,144596.9227,87.8297
ADH_HTW,5963162.458,7801251.5831,90.7258
ADH_HU,81161.0657,127689.2035,54.8189
ADH_SPK,183765.7614,313308.8712,72.4049
ADH_TU,173628.7197,254995.0903,86.4067
ADH_UP,14463.0163,23846.3813,76.4206
ADH_WIAS,101300.6975,295742.0829,89.2967
ADH_ZIB,372161.3995,486812.5122,78.9098
CVK_ADH,224409.3484,352332.308,89.9459
CVK_CVK,1027647.9066,1961385.6809,3364.3328
CVK_HTW,288975.6012,448075.3304,80.9768
CVK_HU,162619.1036,271344.4697,67.7414
CVK_SPK,225811.2509,362847.5735,78.6328
CVK_TU,613844.8584,2125467.6887,81.6561
CVK_UP,9163.8511,20967.739,69.3399
CVK_WIAS,93445.2806,186571.155,87.5889
CVK_ZIB,648819.3321,979162.6124,78.3446
HTW_ADH,3809719.0501,4988694.5311,88.1711
HTW_CVK,77448.4999,120695.9273,67.1983
HTW_HTW,1746358.504,3504857.0025,62.2441
HTW_HU,120230.0451,271386.3412,83.4461
HTW_SPK,196785.5829,425764.7142,53.3288
HTW_TU,142478.1077,212947.6046,78.8256
HTW_UP,11772.6878,20384.9068,57.0567
HTW_WIAS,153070.1105,420927.6026,81.3424
HTW_ZIB,507556.4642,652607.9927,54.0011
HU_ADH,282211.2186,772497.5988,82.2587
HU_CVK,95529.5056,239467.7002,93.06
HU_HTW,382030.1368,1206169.9666,118.5369
HU_HU,4226641.5131,4570222.4963,8381.4994
HU_SPK,3540157.2853,5813461.7998,123.9905
HU_TU,240372.6442,1225812.7614,93.6039
HU_UP,9109.9173,13676.2293,92.0655
HU_WIAS,204443.3532,583410.6652,72.0592
HU_ZIB,2072906.7534,5720618.3704,137.8082
SPK_ADH,506372.1805,961847.6307,72.8844
SPK_CVK,179497.3397,301030.4505,53.2298
SPK_HTW,542854.3569,1255137.0444,53.6082
SPK_HU,8058019.8083,11693715.7798,84.921
SPK_SPK,4129619.7962,9759870.8411,61.9536
SPK_TU,410526.8922,693392.5588,64.3049
SPK_UP,16806.8212,30716.9854,43.3239
SPK_WIAS,4328031.8008,9627827.3813,89.0887
SPK_ZIB,1561287.9159,2644008.9611,61.7967
TU_ADH,281993.5919,439450.7384,86.9272
TU_CVK,524596.5443,2013050.4768,73.0316
TU_HTW,358194.3597,543644.7739,70.2596
TU_HU,192155.0214,442841.3714,53.0259
TU_SPK,353762.2784,890959.0017,66.7982
TU_TU,1724232.8203,8073750.7398,85.4736
TU_UP,8905.536,24814.3504,64.0894
TU_WIAS,152159.8504,371642.2034,88.641
TU_ZIB,812568.4139,1487440.6013,70.2423
UP_ADH,25037.9218,48088.3957,79.0406
UP_CVK,8313.1219,14682.9695,68.9644
UP_HTW,65203.0541,127471.1006,63.6031
UP_HU,12433.3114,22507.4218,56.7237
UP_SPK,14660.9582,29885.8804,53.1479
UP_TU,9765.7566,21608.8574,67.1907
UP_UP,563117.8686,1063478.1807,218.731
UP_WIAS,9175.3988,24946.7367,74.7179
UP_ZIB,37801.563,89662.9421,52.1237
WIAS_ADH,94228.0975,150097.6599,88.0925
WIAS_CVK,28330.5455,60632.4763,74.4287
WIAS_HTW,131804.4994,186768.62,76.0505
WIAS_HU,68832.6532,351582.533,53.79
WIAS_SPK,295312.4207,903209.8025,73.0928
WIAS_TU,50944.3309,126141.1889,82.2186
WIAS_UP,3095.3177,5984.6692,63.0827
WIAS_WIAS,48851.0363,178237.9016,83.8981
WIAS_ZIB,242576.6296,421428.1075,67.6171
ZIB_ADH,5113101.6413,7205838.172,89.0375
ZIB_CVK,584928.2137,1291230.0649,65.9555
ZIB_HTW,7691705.9481,9666784.4515,64.8548
ZIB_HU,363552.4492,740042.3125,48.3198
ZIB_SPK,1453898.2198,3849629.2708,59.3667
ZIB_TU,2099095.7023,4752803.1539,82.4197
ZIB_UP,46244.4678,135925.9735,46.1641
ZIB_WIAS,704187.7718,1247750.0799,77.0641
ZIB_ZIB,22206791.7653,33301134.4779,76.685
